NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;RR;QRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TNTXM;QTNTXM;TAMPLI;QTAMPLI;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;FFM;QFFM;FF2M;QFF2M;FXY;QFXY;DXY;QDXY;HXY;QHXY;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;DRR;QDRR
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240210;6.5;1;6.4;1;1754;9;9.5;1;1342;9;7.4;1;8.0;1;3.1;1;4.7;9;5.6;9;;;;;1.8;9;;;;;;;;;;;;;9.0;9;360;9;1448;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240211;1.0;1;6.7;1;18;9;9.7;1;1448;9;7.9;1;8.2;1;3.0;1;5.4;9;5.7;9;;;;;4.0;9;;;;;;;;;;;;;10.0;9;360;9;1548;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240212;1.0;1;4.3;1;212;9;10.6;1;1412;9;6.3;1;7.5;1;6.3;1;2.8;9;3.8;9;;;;;1.7;9;;;;;;;;;;;;;6.0;9;360;9;1618;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240213;0.5;1;2.9;1;148;9;9.7;1;554;9;6.7;1;6.3;1;6.8;1;0.0;9;1.2;9;;;;;3.1;9;;;;;;;;;;;;;10.0;9;360;9;1812;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240214;0.5;1;8.8;1;0;9;14.2;1;1412;9;11.6;1;11.5;1;5.4;1;7.5;9;7.6;9;;;;;3.2;9;;;;;;;;;;;;;9.0;9;90;9;1118;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240215;0.0;1;7.8;1;624;9;17.4;1;1442;9;13.4;1;12.6;1;9.6;1;4.6;9;6.1;9;;;;;2.5;9;;;;;;;;;;;;;8.0;9;190;9;2354;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240216;0.0;1;9.8;1;1754;9;13.2;1;636;9;11.8;1;11.5;1;3.4;1;7.2;9;8.7;9;;;;;3.3;9;;;;;;;;;;;;;9.0;9;90;9;624;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240217;0.0;1;8.4;1;712;9;13.9;1;1448;9;10.3;1;11.2;1;5.5;1;6.2;9;7.6;9;;;;;1.6;9;;;;;;;;;;;;;6.0;9;30;9;1300;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240218;4.5;1;6.5;1;454;9;11.4;1;1954;9;8.9;1;9.0;1;4.9;1;5.9;9;6.3;9;;;;;3.2;9;;;;;;;;;;;;;9.0;9;360;9;1242;9;;;;;;;;
91272001;GIF-SUR-YVETTE-INRAE;48.714333;2.151000;157;20240219;0.5;1;8.9;1;1730;9;10.3;1;1000;9;9.4;1;9.6;1;1.4;1;6.2;9;7.6;9;;;;;2.4;9;;;;;;;;;;;;;8.0;9;360;9;1306;9;;;;;;;;
