Identifiant arc,Libelle,Identifiant noeud amont,Identifiant noeud aval,cost
1917,Av_de_Clichy,2056,2054,7.9182550300751995
5176,PE_Parc_Expo_Est,2731,2732,276.2624026127662
1542,Pyrenees,766,3442,16.50048708970172
5335,PI_Courteline,532,531,425.17871394746237
1954,Bd_des_Capucines,2138,2139,15.159211829790086
5021,Rue_Fbg_St_Martin,835,2653,24.084656685397327
6416,Bd_de_Belleville,678,3322,15.68523275036656
5124,Quai_Francois_Mauriac,2253,2703,0.08897114699910937
5335,PI_Courteline,532,531,446.20779567447
4228,Bd_Haussmann,2261,2269,8.455682383190139
4750,Bd_de_Charonne,2527,2534,8.415101750500884
5416,PE_Courcelles,2267,2733,484.0674495091251
1542,Pyrenees,766,3442,16.014425630290674
1952,Bd_des_Italiens,2138,2137,23.71384746228591
5021,Rue_Fbg_St_Martin,835,2653,16.243163179364412
5124,Quai_Francois_Mauriac,2253,2703,0.09251864070748779
526,Bd_Sebastopol,311,313,13.84555951463547
4228,Bd_Haussmann,2261,2269,8.55975855212345
4750,Bd_de_Charonne,2527,2534,8.474557917293735
1409,Av_Gambetta,704,753,15.619890054953858
5416,PE_Courcelles,2267,2733,433.5874647358398
1443,Bd_Davout,768,764,8.558666815773012
5021,Rue_Fbg_St_Martin,835,2653,15.659276187992253
5145,Joseph_Kessel,2712,816,16.115198172052185
526,Bd_Sebastopol,311,313,21.147594266890934
4228,Bd_Haussmann,2261,2269,8.597774625243176
4750,Bd_de_Charonne,2527,2534,8.56661336911839
1409,Av_Gambetta,704,753,16.481618260118385
5416,PE_Courcelles,2267,2733,427.87923804115417
1443,Bd_Davout,768,764,15.905828909086413
1963,4_Septembre,2146,2147,16.030023959654557
5021,Rue_Fbg_St_Martin,835,2653,15.963065341886765
5145,Joseph_Kessel,2712,816,16.228888326625
526,Bd_Sebastopol,311,313,12.600188176338595
5334,PI_Vincennes,533,532,438.40395339816007
4228,Bd_Haussmann,2261,2269,16.542033859042114
4750,Bd_de_Charonne,2527,2534,8.647576041689627
482,Sout._Van_Gogh_vers_Diderot,287,3226,17.003232295350365
1409,Av_Gambetta,704,753,16.63229781481713
5765,Bd_Pasteur,3016,3015,17.018125616700235
