Identifiant noeud amont,Identifiant noeud aval,cost
632,2745,215.9912773174689
2081,2851,134.7646553267817
597,594,12.092588259502246
3537,2868,25.370624084143763
809,802,0.32462193194480427
2829,2830,265.2419898631254
2257,2250,12.90362570986429
597,594,12.092588259502246
2696,2528,0.10200704853748775
2902,2900,3.9412541609495206
632,2745,215.9912773174689
597,594,6.0796990696945
3537,2868,25.370624084143763
809,802,52.26413104311349
2829,2830,265.2419898631254
597,594,12.092588259502246
2696,2528,0.10200704853748775
2902,2900,7.839197836613882
632,2745,381.1050794196084
762,761,18.218270642806935
2086,2028,254.75208336829954
597,594,6.0796990696945
3537,2868,25.370624084143763
809,802,52.26413104311349
2829,2830,0.22085094909502526
597,594,6.0796990696945
2902,2901,13.079832594249003
632,2745,381.1050794196084
762,761,18.218270642806935
597,594,12.092588259502246
597,594,6.0796990696945
2902,2901,13.079832594249003
2852,2746,244.43815267821526
762,761,18.218270642806935
2830,2831,239.62298287314775
3332,2652,15.463723308958707
312,311,15.337972102529339
2902,2901,14.704656519000434
2061,2062,8.927653957157498
764,769,11.819413219358271
2830,2831,359.4344743097216
3332,2652,10.309148872639138
312,311,10.225314735019559
826,3222,18.009031038931496
2902,2901,7.392948857619001
2061,2062,8.927653957157498
2852,2746,244.43815267821526
403,3000,0.1413343256616846
764,769,11.819413219358271
2830,2831,239.62298287314775
2651,2652,10.908795441600363
2528,2696,18.73061868536724
312,311,10.225314735019559
826,3222,18.009031038931496
2902,2901,7.392948857619001
2061,2062,8.927653957157498
2852,2746,431.2980725267433
403,3000,0.1413343256616846
764,769,23.508942776965352
2830,2831,239.62298287314775
2651,2652,10.908795441600363
310,312,8.266684411162172
826,3222,18.009031038931496
753,701,33.3368467688785
2902,2901,7.392948857619001
2061,2062,8.927653957157498
598,2727,292.2230173679465
2852,2746,244.43815267821526
403,3000,0.1413343256616846
764,769,23.508942776965352
2830,2831,0.19951955276698394
2651,2652,21.697714010216107
310,312,8.266684411162172
826,3222,18.009031038931496
753,701,33.3368467688785
2061,2062,8.927653957157498
2745,2747,277.1458269900742
403,3000,12.8614236352133
764,768,14.572036581640072
531,538,683.9395206711825
2830,2831,0.19951955276698394
2651,2652,21.697714010216107
310,312,8.266684411162172
531,538,683.9395206711825
2260,2257,9.971780105618997
826,3222,18.009031038931496
753,701,33.3368467688785
2061,2062,8.927653957157498
764,768,14.572036581640072
531,538,683.9395206711825
2830,2831,0.19951955276698394
310,312,8.266684411162172
531,538,455.959680447455
2260,2257,5.013436406692424
664,3222,9.533297546207077
753,701,33.3368467688785
2056,2054,4.760595340009334
764,768,14.572036581640072
531,538,387.62267588413954
310,312,8.266684411162172
531,538,455.959680447455
2260,2257,5.013436406692424
664,3222,6.355531697471385
753,701,16.760514121369855
2056,2054,4.760595340009334
766,3074,22.263257075617066
531,538,683.9395206711825
781,2832,246.59483220678416
310,312,8.266684411162172
531,538,683.9395206711825
2260,2257,9.971780105618997
664,3222,6.355531697471385
753,701,16.760514121369855
2901,2902,14.327878538083636
2056,2054,4.760595340009334
766,3074,22.263257075617066
531,538,683.9395206711825
781,2832,209.63640606421868
532,531,162.6245613157641
2260,2257,8.869925950301983
664,3222,6.355531697471385
753,701,16.760514121369855
2901,2902,7.2035190440089005
2056,2054,4.760595340009334
3149,3002,16.253683988003548
766,3074,22.263257075617066
531,538,683.9395206711825
781,2832,33.05725893862802
676,679,20.31638790158984
532,531,162.6245613157641
664,3222,6.355531697471385
2901,2902,7.2035190440089005
2056,2054,4.760595340009334
3149,3002,8.171741673526647
766,3074,22.263257075617066
532,531,243.93684197364615
781,2832,0.20532458968091935
2253,2703,0.1027826089841393
532,531,138.25118826261047
664,3222,9.533297546207077
2900,2902,6.325507004210424
2056,2054,4.760595340009334
608,2731,229.0488733649298
3149,3002,8.171741673526647
766,3442,13.32373201000561
532,531,162.6245613157641
2133,2131,16.187880376221862
2253,2703,0.1027826089841393
532,531,243.93684197364615
664,3222,6.355531697471385
2900,2902,3.5752865675971965
2056,2054,4.760595340009334
2731,2732,0.27158347350139017
766,3442,13.32373201000561
532,531,162.6245613157641
2137,2138,17.903591284327103
2253,2703,0.1027826089841393
532,531,243.93684197364615
2261,2269,22.96607972579851
2527,2534,9.436173468978923
664,3222,6.355531697471385
2056,2054,4.760595340009334
2731,2732,277.28672644491934
766,3442,13.32373201000561
532,531,243.93684197364615
2138,2139,13.12847971805285
835,2653,44.40002149038963
678,3322,14.133271865913011
2253,2703,0.1027826089841393
532,531,243.93684197364615
2261,2269,11.546482072086544
2527,2534,4.744153512028078
2267,2733,498.27597086082767
766,3442,13.32373201000561
2138,2137,26.86633390283385
835,2653,29.60001432692642
2253,2703,0.1027826089841393
311,313,3.461395468185883
2261,2269,11.546482072086544
2527,2534,4.744153512028078
704,753,17.173112719529577
2267,2733,498.27597086082767
768,764,14.587272810614014
835,2653,29.60001432692642
2712,816,18.981712050935936
311,313,5.192093202278825
2261,2269,11.546482072086544
2527,2534,4.744153512028078
704,753,17.173112719529577
2267,2733,498.27597086082767
768,764,29.01424592001249
2146,2147,15.106945516211649
835,2653,29.60001432692642
2712,816,18.981712050935936
311,313,3.461395468185883
533,532,408.0743955249176
2261,2269,22.96607972579851
2527,2534,4.744153512028078
287,3226,16.58227410218994
704,753,17.173112719529577
3016,3015,11.4565253687024
768,762,18.929276032253796
457,478,0.33051570212123166
2147,2148,6.348945518869656
3331,2654,9.658239635150748
2712,816,18.981712050935936
219,218,10.062405666954426
311,313,3.461395468185883
533,532,272.0495970166117
2261,2269,22.96607972579851
287,3226,16.58227410218994
704,753,8.633995897664041
3016,3015,11.4565253687024
768,762,18.929276032253796
457,478,337.4565318657775
2148,2149,12.516447685061543
3331,2654,4.855800037561979
2712,816,18.981712050935936
219,218,10.062405666954426
686,730,9.759435673443944
2253,2704,16.702553802811877
313,314,13.191835825939094
533,532,231.2761353488431
2261,2269,22.96607972579851
287,3226,22.124967931927458
704,753,8.633995897664041
960,798,0.0410480260851583
3016,3015,11.4565253687024
769,3478,7.396394820716476
457,478,337.4565318657775
2149,2150,9.81986451302666
3331,2654,9.658239635150748
2712,816,28.472568076403903
219,218,10.062405666954426
2253,2704,16.702553802811877
313,314,11.734174408708254
533,532,231.2761353488431
2261,2269,22.96607972579851
287,3226,14.749978621284972
704,753,17.173112719529577
960,798,3.7353703737494053
3016,3015,11.4565253687024
769,3478,3.7186294402497198
457,478,0.33051570212123166
2152,2153,11.97673321433444
3331,2654,9.658239635150748
2712,816,18.981712050935936
219,218,10.062405666954426
313,314,11.734174408708254
533,532,272.0495970166117
2264,2266,7.725198124231869
704,753,17.173112719529577
3016,3015,11.4565253687024
457,478,0.33051570212123166
3331,2654,9.658239635150748
2712,816,9.543291694116961
219,218,10.062405666954426
313,314,11.734174408708254
533,532,408.0743955249176
2264,2266,7.725198124231869
3016,3015,11.4565253687024
533,532,408.0743955249176
457,478,337.4565318657775
2159,2694,14.889120794812301
2877,2878,38.05027523939392
3331,2654,9.658239635150748
2712,816,9.543291694116961
220,219,2.7354341026444726
313,314,11.734174408708254
533,532,272.0495970166117
2264,2266,15.365503961384269
533,532,408.0743955249176
457,478,506.18479779866624
2877,2878,42.77701750515714
2712,816,0.1048713372979886
220,219,2.7354341026444726
313,314,11.734174408708254
534,817,245.54212225365336
2040,2039,3.7925108956080864
533,532,272.0495970166117
457,478,337.4565318657775
2877,2878,42.77701750515714
2712,816,0.1048713372979886
220,219,2.7354341026444726
313,314,11.734174408708254
534,817,368.31318338048004
2040,2039,0.04167594390778115
534,817,245.54212225365336
457,478,0.33051570212123166
2877,2878,38.05027523939392
2712,816,9.543291694116961
220,219,0.0300597154136755
534,817,245.54212225365336
457,478,337.4565318657775
2040,2039,0.04167594390778115
534,817,368.31318338048004
457,478,53.21302804151829
2244,458,10.153965830768247
2877,2878,42.77701750515714
2654,816,19.76579337668301
220,219,2.7354341026444726
534,817,368.31318338048004
457,478,337.4565318657775
2265,2086,0.2189580642964085
719,704,23.491670139697767
2040,2039,0.04167594390778115
534,817,368.31318338048004
457,478,53.21302804151829
2245,169,6.174762455256848
2877,2878,42.77701750515714
2654,816,19.76579337668301
220,219,2.7354341026444726
534,817,368.31318338048004
457,478,0.33051570212123166
2265,2086,35.25224835172177
719,704,23.491670139697767
2040,2039,0.04167594390778115
534,817,368.31318338048004
457,478,53.21302804151829
2250,3658,3.509069550726197
2834,2878,0.29137528236012417
2654,816,19.76579337668301
220,219,2.7354341026444726
699,720,14.74035789311762
534,817,245.54212225365336
457,478,337.4565318657775
2265,2086,39.631409637649945
719,704,11.81072918625689
2040,2039,3.7925108956080864
457,478,53.21302804151829
2834,2878,46.91142045997998
2654,816,19.76579337668301
220,219,2.7354341026444726
699,720,14.74035789311762
457,478,506.18479779866624
2265,2086,35.25224835172177
719,704,11.81072918625689
3439,725,28.95587915822827
773,533,215.41483275294632
457,478,0.33051570212123166
2834,2878,0.29137528236012417
816,2654,19.67969664009993
2654,816,19.76579337668301
457,478,337.4565318657775
2265,2086,262.96863521998665
719,704,23.491670139697767
3439,725,28.95587915822827
243,2743,13.53288305967438
773,533,215.41483275294632
457,478,337.4565318657775
2834,2878,0.29137528236012417
816,2654,19.67969664009993
2654,816,19.76579337668301
457,478,337.4565318657775
719,704,23.491670139697767
3439,725,14.557928195573329
243,2743,13.53288305967438
773,533,215.41483275294632
3079,479,0.14072322418318994
2257,2250,17.21671607144876
2834,2878,0.29137528236012417
816,2654,17.50514452517176
2654,816,19.76579337668301
457,478,53.21302804151829
704,719,11.682621119080023
718,725,25.13152520701749
243,2743,13.53288305967438
3079,479,0.14072322418318994
2260,2257,8.869925950301983
2834,2878,46.91142045997998
816,2654,19.67969664009993
2654,816,9.937498327503613
535,534,399.16501190978886
457,478,53.21302804151829
704,719,11.682621119080023
718,725,25.13152520701749
3079,479,143.67841189103692
2654,816,9.937498327503613
701,3319,49.85999256205567
535,534,266.11000793985926
3079,479,143.67841189103692
704,719,11.682621119080023
718,725,12.635186706290561
535,534,399.16501190978886
3079,479,143.67841189103692
2261,2269,22.96607972579851
2654,816,9.937498327503613
701,3319,49.85999256205567
535,534,266.11000793985926
3079,479,143.67841189103692
704,719,11.682621119080023
718,725,12.635186706290561
535,534,399.16501190978886
3079,479,0.21108483627478491
3130,3131,26.934102472644142
2654,816,29.648690065024518
535,534,266.11000793985926
3079,479,143.67841189103692
704,719,11.682621119080023
718,725,12.635186706290561
535,534,399.16501190978886
3079,479,215.51761783655536
2267,2733,498.27597086082767
3130,3131,26.934102472644142
534,817,245.54212225365336
3079,479,143.67841189103692
704,719,23.236861786302022
3282,726,21.199223892995526
632,2745,215.9912773174689
535,534,399.16501190978886
3079,479,143.67841189103692
2268,2267,249.25915768754896
3130,3131,26.934102472644142
534,817,245.54212225365336
3079,479,143.67841189103692
3282,726,10.658173338467364
632,2745,381.1050794196084
535,534,399.16501190978886
3079,479,0.14072322418318994
3130,3131,26.934102472644142
534,817,368.31318338048004
701,752,7.471188934541301
3079,479,143.67841189103692
2267,2733,0.27658949256776444
3282,726,10.658173338467364
2852,2746,366.6572290173229
2754,2753,6.825335846543524
535,534,266.11000793985926
3079,479,22.65643909349358
3130,3131,26.934102472644142
701,752,7.471188934541301
3079,479,0.14072322418318994
2267,2733,44.53090830341007
3282,726,0.1171227839392018
2852,2746,431.2980725267433
2754,2753,6.825335846543524
3079,479,22.65643909349358
2271,2269,8.865216484312
3130,3131,26.934102472644142
534,817,368.31318338048004
702,726,12.844272243599267
3079,479,0.14072322418318994
2267,2733,50.062698154765364
3282,726,0.1171227839392018
2745,2747,277.1458269900742
776,818,514.7290689387074
3079,479,22.65643909349358
2271,3117,13.903753278684475
534,817,368.31318338048004
702,726,12.844272243599267
3079,479,22.65643909349358
2267,2733,50.062698154765364
3282,726,10.658173338467364
2745,2747,489.0090179457577
3079,479,22.65643909349358
2276,2750,0.6812143007965185
534,817,368.31318338048004
3079,479,0.14072322418318994
2267,2733,498.27597086082767
3282,726,10.658173338467364
3079,479,22.65643909349358
2276,3186,1.823269039719187
534,817,368.31318338048004
704,719,23.23686178638209
2267,2733,498.27597086082767
3282,726,10.658173338467364
3030,3020,5.546988917943446
3079,479,0.14072322418318994
2276,2254,14.464619673313178
534,817,368.31318338048004
704,753,17.173112719578466
2267,2733,498.27597086082767
3030,3020,0.0609559221752027
2282,2283,11.048364750378385
2836,804,253.269263846706
534,817,37.00509919060055
3030,3020,5.546988917943446
2836,804,297.9200645248716
534,817,0.20444806182652234
598,2727,343.7412770410419
315,317,3.034910461991908
781,2832,369.89224830960586
2836,804,297.9200645248716
776,818,343.15271262580495
711,702,17.244044658123606
598,2727,292.2230173679465
315,317,3.034910461991908
781,2832,314.4546090958431
2294,2296,12.727930460445469
2836,804,297.9200645248716
2656,2655,22.842689547000795
776,818,514.7290689387074
711,702,17.244044658123606
598,2727,292.2230173679465
315,317,3.034910461991908
781,2832,314.4546090958431
2298,2360,13.44310901366622
2836,804,297.9200645248716
895,894,23.9542597183904
2656,2655,22.842689547000795
598,2727,292.2230173679465
315,317,3.034910461991908
781,2832,369.89224830960586
2299,2250,21.23190103562478
2836,804,446.88009678730737
895,894,23.9542597183904
2656,2655,22.842689547000795
776,818,514.7290689387074
315,317,3.034910461991908
2268,2267,33.414424968938704
2836,804,297.9200645248716
895,894,23.9542597183904
2656,2655,20.31863545340955
309,318,8.72211838142117
2268,2267,37.56528521352737
595,598,160.47840245084353
2836,804,297.9200645248716
895,894,23.9542597183904
3171,2656,10.541333809500818
776,818,343.15271262580495
3392,318,21.098831243949054
2268,2267,249.25915768754896
595,598,160.47840245084353
2836,804,297.9200645248716
895,894,23.9542597183904
3171,2656,10.541333809500818
776,818,343.15271262580495
716,727,12.418272575278438
3392,318,21.098831243949054
538,2820,229.15369749722578
2269,2271,9.492322773090267
595,598,188.77038329428314
2836,804,253.269263846706
895,894,23.9542597183904
3171,2656,10.541333809500818
776,818,343.15271262580495
718,725,25.13152520701749
3392,318,21.098831243949054
538,2820,229.15369749722578
2269,2271,4.772383272658642
2786,480,316.1309044615824
595,598,188.77038329428314
2836,804,0.2480600037675866
895,894,23.9542597183904
3171,2656,10.541333809500818
776,818,514.7290689387074
718,725,25.13152520701749
3392,318,31.648246865923582
538,2820,229.15369749722578
2269,2271,9.492322773090267
2786,480,316.1309044615824
2310,2313,16.172338653208495
595,598,188.77038329428314
2836,804,39.937660606581446
895,894,23.9542597183904
3171,2656,10.541333809500818
776,818,291.72266410570097
538,2820,343.7305462458387
2269,2271,9.492322773090267
2786,480,316.1309044615824
595,598,188.77038329428314
807,806,12.462858481224881
895,894,23.9542597183904
3171,2656,10.541333809500818
776,818,0.2857224917783555
539,2819,414.70041014623524
2786,480,210.7539363077216
2269,2271,9.492322773090267
2560,2541,9.432054452872945
729,728,12.35458515860087
2786,480,210.7539363077216
595,598,188.77038329428314
807,806,12.462858481224881
895,894,23.9542597183904
2655,2656,24.985639523154536
776,818,291.72266410570097
608,2731,343.57331004739467
539,2819,622.0506152193528
2786,480,316.1309044615824
2269,2261,23.8645402967906
2560,2541,9.432054452872945
729,728,6.211421267583863
2786,480,210.7539363077216
595,598,160.47840245084353
807,806,8.308572320816587
895,894,12.043301847367548
2655,2656,24.985639523154536
608,2731,343.57331004739467
539,2819,622.0506152193528
2786,480,210.7539363077216
2269,2261,11.998194292861573
2560,2541,0.1036489500315708
729,728,0.0682573765668556
2754,2758,8.297028148244642
2786,480,316.1309044615824
595,598,0.15717767135244226
807,806,8.308572320816587
895,894,12.043301847367548
2655,2656,22.224795376949615
719,704,11.810729186265158
608,2731,343.57331004739467
539,2819,414.70041014623524
2786,480,210.7539363077216
2269,2261,11.998194292861573
2560,2541,9.432054452872945
729,728,0.0682573765668556
2754,2758,16.50288016299209
2786,480,316.1309044615824
595,598,0.15717767135244226
807,806,8.308572320816587
895,894,12.043301847367548
2655,2656,24.985639523154536
608,2731,269.42967376227296
2786,480,316.1309044615824
2269,2261,11.998194292861573
2560,2541,9.432054452872945
729,728,6.211421267583863
2786,480,316.1309044615824
595,598,25.305605087743203
807,806,12.462858481224881
895,894,23.9542597183904
2655,2656,22.224795376949615
720,733,19.28880290494622
2731,2732,415.930089667379
2786,480,179.1671681683462
2269,2261,11.998194292861573
2560,2541,18.760459955714317
3438,729,25.397396207024805
2754,2753,13.575668002465692
438,2759,283.9018078592573
786,787,1.9291653151010204
538,2820,343.7305462458387
2786,480,316.1309044615824
595,598,25.305605087743203
807,806,8.308572320816587
2655,2656,24.985639523154536
720,733,19.28880290494622
2731,2732,326.17175167516956
2786,480,0.17548204521875235
2269,2261,23.8645402967906
3438,729,0.1403171061161591
2754,2753,6.825335846543524
438,2759,283.9018078592573
786,787,1.9291653151010204
538,2820,229.15369749722578
2786,480,316.1309044615824
595,598,25.305605087743203
807,806,8.308572320816587
2658,2657,23.606115209201597
720,699,12.162929133538944
2267,2733,332.1839805738851
2786,480,0.17548204521875235
595,598,160.47840245084353
3239,3240,12.425371495392469
3438,729,0.1403171061161591
438,2759,333.9530570411048
786,785,10.431111833806217
538,2820,194.8092632345275
2786,480,179.1671681683462
807,806,8.308572320816587
2658,2657,20.997704688847833
2267,2733,332.1839805738851
2786,480,179.1671681683462
595,598,188.77038329428314
3239,3240,12.425371495392469
3438,729,0.1403171061161591
786,785,10.431111833806217
538,2820,229.15369749722578
2786,480,0.17548204521875235
807,806,12.462858481224881
721,720,105.03451218338549
2267,2733,332.1839805738851
2786,480,210.7539363077216
595,598,188.77038329428314
3239,3240,12.425371495392469
3438,729,12.768856656570481
787,796,29.14953605283263
538,2820,343.7305462458387
2786,480,0.17548204521875235
807,806,8.308572320816587
721,720,105.03451218338549
540,2686,12.135897531588887
482,481,9.656214853894383
595,598,188.77038329428314
3239,3240,12.425371495392469
787,796,29.14953605283263
538,2820,343.7305462458387
2786,480,179.1671681683462
2396,2400,25.282071222078585
807,806,8.308572320816587
540,2686,12.135897531588887
482,481,9.656214853894383
595,598,188.77038329428314
787,796,29.14953605283263
539,2819,414.70041014623524
482,481,19.20631745664707
2396,2400,16.85471414805239
807,806,8.308572320816587
722,721,67.79381096873925
540,2686,12.135897531588887
482,481,19.20631745664707
2270,2265,33.33492088546193
595,598,188.77038329428314
787,786,10.812447700847923
539,2819,622.0506152193528
482,481,28.809476184970606
2396,2395,17.906374618558402
807,806,4.1772380176481185
723,722,74.54825507444241
540,2686,12.135897531588887
482,481,19.20631745664707
2270,2265,33.33492088546193
595,598,188.77038329428314
787,786,21.506077295093117
539,2819,414.70041014623524
482,481,19.20631745664707
2396,2395,17.906374618558402
2580,806,8.4994515666292
540,2686,12.135897531588887
482,481,28.809476184970606
2271,3117,6.990284797570647
595,598,160.47840245084353
2545,2544,4.325244044467206
731,730,12.915876163735547
788,2842,284.62832703039555
539,2819,622.0506152193528
482,481,19.20631745664707
2396,2395,17.906374618558402
2813,2883,0.15492839500373795
2580,806,8.4994515666292
725,3439,43.71271912375359
540,2686,12.135897531588887
482,481,19.20631745664707
2271,3117,6.990284797570647
595,598,25.305605087743203
2545,2544,4.325244044467206
731,730,12.915876163735547
788,2842,284.62832703039555
539,2819,622.0506152193528
482,481,28.809476184970606
2396,2395,17.906374618558402
2813,2883,0.15492839500373795
2580,806,8.4994515666292
3114,3144,10.276494764537354
897,898,23.32498575253444
725,718,25.21943549621259
540,2686,12.135897531588887
482,481,19.20631745664707
2271,3117,6.990284797570647
595,598,0.15717767135244226
2545,2544,0.04753015433480445
3253,3241,11.230438440430973
731,730,12.915876163735547
539,2819,414.70041014623524
482,481,9.656214853894383
2396,2395,9.002652432534887
2813,2883,0.15492839500373795
2580,806,8.4994515666292
3114,3144,10.276494764537354
897,898,23.32498575253444
726,3282,21.769761149221797
2746,2736,362.9145148718571
318,322,21.055349455823904
540,2686,12.135897531588887
482,481,28.809476184970606
2271,3117,13.903753278684475
595,598,160.47840245084353
2545,2544,0.04753015433480445
3253,3241,11.230438440430973
731,730,6.493617297789695
482,481,9.656214853894383
2397,2385,28.446120821517383
2813,2883,0.15492839500373795
2580,806,8.4994515666292
3114,3144,5.166635489353035
897,898,23.32498575253444
726,702,12.556496609707075
318,322,21.055349455823904
482,481,28.809476184970606
2271,2269,5.010774534611131
3253,3241,22.337465469428636
731,730,6.493617297789695
482,481,0.1061122511416965
2397,2411,17.64696648736185
2580,806,8.4994515666292
3114,3144,5.166635489353035
897,898,23.32498575253444
482,481,19.20631745664707
2271,2269,5.010774534611131
3253,3241,22.337465469428636
731,730,6.493617297789695
2754,2758,16.50288016299209
3034,3023,3.4250188642553394
789,2836,190.34646620010372
482,481,0.1061122511416965
2397,2411,17.64696648736185
2580,806,8.4994515666292
3114,3144,5.166635489353035
897,898,23.32498575253444
727,686,10.536501865601583
482,481,9.656214853894383
2271,2269,9.966485612797962
3253,3241,22.337465469428636
731,730,12.915876163735547
438,2759,333.9530570411048
3034,3023,3.4250188642553394
789,2836,190.34646620010372
482,481,9.656214853894383
2397,2411,17.64696648736185
3114,3144,10.276494764537354
897,898,23.32498575253444
728,744,12.67141821792128
482,481,9.656214853894383
2271,2269,9.966485612797962
3240,3241,17.721242669275323
686,730,4.906677603775684
3034,3023,3.4250188642553394
789,2836,161.81826976711565
540,2686,12.135897531588887
482,481,9.656214853894383
2397,2411,8.872231769889106
897,898,23.32498575253444
482,481,9.656214853894383
2276,2750,0.16400024608548194
3240,3241,17.721242669275323
686,730,4.906677603775684
3034,3023,3.4250188642553394
540,2686,12.135897531588887
2668,482,7.94800763676905
2397,2411,8.872231769889106
897,898,23.32498575253444
2668,482,15.808674530276903
2276,2750,0.16400024608548194
3240,3241,17.721242669275323
756,734,9.244781003783588
686,730,0.05391953410742505
2668,482,7.94800763676905
2397,2398,51.137842010704546
897,898,0.1288673245996378
2668,482,15.808674530276903
2276,2750,0.16400024608548194
3240,3241,17.721242669275323
756,734,9.244781003783588
686,730,4.906677603775684
2668,482,15.808674530276903
2397,2398,34.09189467380303
897,898,11.726926538567037
2668,482,15.808674530276903
2276,2750,0.16400024608548194
3240,3241,17.721242669275323
756,734,9.244781003783588
686,730,9.759435673443944
2668,482,15.808674530276903
2397,2398,51.137842010704546
897,898,0.1288673245996378
731,730,12.915876163735547
2668,482,15.808674530276903
2276,3186,0.06381291875790256
756,734,0.10159100004157785
686,730,9.759435673443944
796,797,16.8749864099228
2668,482,15.808674530276903
2397,2398,45.48725173327863
897,898,11.726926538567037
731,730,12.915876163735547
2668,482,15.808674530276903
2276,3186,0.06381291875790256
756,734,0.10159100004157785
730,731,6.218694442420227
796,797,16.8749864099228
2668,482,15.808674530276903
2397,2398,34.09189467380303
897,898,11.726926538567037
2668,482,15.808674530276903
2276,3186,0.06381291875790256
756,734,0.10159100004157785
730,731,6.218694442420227
796,797,16.8749864099228
2668,482,15.808674530276903
2397,2398,34.09189467380303
